reader	antenna	det_type	date	time	date_time	time_zone	dur	tag_type	tag_code	consec_det	no_empt_scan_prior
dam	1	D	2015-12-06	39:36.1	2015-12-06 01:39	America/Vancouver	00:01.2	HA	900_230000010009	7	847
dam	1	D	2015-12-06	45:24.1	2015-12-06 01:45	America/Vancouver	00:00.6	HA	900_230000010009	4	1721
dam	1	D	2015-12-06	47:51.0	2015-12-06 01:47	America/Vancouver	00:01.0	HA	900_230000010009	6	725
dam	1	D	2015-12-06	03:45.6	2015-12-06 02:03	America/Vancouver	00:00.2	HA	900_230000010009	2	4734
dam	1	D	2015-12-06	03:46.2	2015-12-06 02:03	America/Vancouver	00:00.8	HA	900_230000010009	5	1
dam	1	D	2015-12-06	03:47.4	2015-12-06 02:03	America/Vancouver	00:01.0	HA	900_230000010009	6	1
dam	1	D	2015-12-06	08:57.6	2015-12-06 02:08	America/Vancouver	00:00.4	HA	900_230000010009	3	1534
dam	1	D	2015-12-06	09:15.1	2015-12-06 02:09	America/Vancouver	00:01.2	HA	900_230000010009	7	84
dam	1	D	2015-12-06	19:40.3	2015-12-06 02:19	America/Vancouver	00:02.6	HA	900_230000010009	14	3097
dam	1	D	2015-12-06	30:49.9	2015-12-06 02:30	America/Vancouver	00:01.4	HA	900_230000010009	8	3311
dam	1	D	2015-12-10	32:35.8	2015-12-10 15:32	America/Vancouver	00:01.2	HA	900_230000010010	7	.
dam	1	D	2015-12-10	43:05.0	2015-12-10 15:43	America/Vancouver	00:00.0	HA	900_230000010010	1	3117
dam	1	D	2015-12-10	43:23.9	2015-12-10 15:43	America/Vancouver	00:00.6	HA	900_230000010010	4	93
dam	1	D	2015-12-10	43:26.0	2015-12-10 15:43	America/Vancouver	00:01.4	HA	900_230000010010	8	6
dam	1	D	2015-12-10	43:38.1	2015-12-10 15:43	America/Vancouver	00:00.4	HA	900_230000010010	3	52
dam	1	D	2016-04-04	16:14.2	2016-04-04 14:16	America/Vancouver	00:01.0	HA	900_230000010022	6	.
dam	2	D	2016-04-04	18:08.9	2016-04-04 15:18	America/Vancouver	00:00.4	HA	900_230000010022	3	.
dam	2	D	2016-04-04	19:02.9	2016-04-04 15:19	America/Vancouver	00:00.6	HA	900_230000010022	4	265
dam	2	D	2016-04-04	19:11.0	2016-04-04 15:19	America/Vancouver	00:01.6	HA	900_230000010022	9	36
dam	1	D	2016-04-13	55:54.6	2016-04-13 11:55	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	.
dam	1	D	2016-04-13	46:55.6	2016-04-13 12:46	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	15195
dam	1	D	2016-04-13	47:53.0	2016-04-13 13:47	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	18154
dam	2	D	2016-04-13	25:36.2	2016-04-13 14:25	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	.
dam	2	D	2016-04-13	31:42.3	2016-04-13 14:31	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1814
dam	2	D	2016-04-13	39:02.7	2016-04-13 14:39	America/Vancouver	00:01.0	HR	0000_0000000183225426	6	2183
dam	2	D	2016-04-13	47:17.9	2016-04-13 14:47	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	2452
dam	2	D	2016-04-13	56:30.4	2016-04-13 14:56	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	2740
dam	2	D	2016-04-13	03:29.4	2016-04-13 15:03	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	2077
dam	2	D	2016-04-13	15:13.8	2016-04-13 15:15	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	3493
dam	2	D	2016-04-13	26:26.5	2016-04-13 15:26	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	3336
dam	2	D	2016-04-13	43:41.0	2016-04-13 15:43	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	5132
dam	2	D	2016-04-13	50:33.9	2016-04-13 15:50	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	2047
dam	2	D	2016-04-13	56:31.5	2016-04-13 15:56	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1772
