reader	antenna	det_type	date	time	date_time	time_zone	dur	tag_type	tag_code	consec_det	no_empt_scan_prior
dam	2	D	2016-04-16	44:25.8	2016-04-16 11:44	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1830
dam	2	D	2016-04-16	08:03.4	2016-04-16 12:08	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	7036
dam	2	D	2016-04-16	14:27.7	2016-04-16 12:14	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1907
dam	2	D	2016-04-16	25:12.1	2016-04-16 12:25	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	3196
dam	2	D	2016-04-16	25:12.5	2016-04-16 12:25	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1
dam	2	D	2016-04-16	25:19.4	2016-04-16 12:25	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	31
dam	2	D	2016-04-16	25:20.6	2016-04-16 12:25	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	5
dam	2	D	2016-04-16	26:56.5	2016-04-16 12:26	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	472
dam	2	D	2016-04-16	33:42.4	2016-04-16 12:33	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	2012
dam	2	D	2016-04-16	43:35.0	2016-04-16 12:43	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2940
dam	2	D	2016-04-16	43:35.4	2016-04-16 12:43	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1
dam	2	D	2016-04-16	43:45.5	2016-04-16 12:43	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	47
dam	2	D	2016-04-16	47:32.1	2016-04-16 12:47	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1123
dam	2	D	2016-04-16	47:32.5	2016-04-16 12:47	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-16	49:58.1	2016-04-16 12:49	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	722
dam	2	D	2016-04-16	03:07.9	2016-04-16 13:03	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	3920
dam	2	D	2016-04-16	03:08.7	2016-04-16 13:03	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2
dam	2	D	2016-04-16	05:13.2	2016-04-16 13:05	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	617
dam	2	D	2016-04-17	23:33.4	2016-04-17 11:23	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	.
dam	2	D	2016-04-17	28:00.9	2016-04-17 11:28	America/Vancouver	00:00.8	HR	0000_0000000183225426	5	1326
dam	2	D	2016-04-17	33:18.3	2016-04-17 11:33	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1571
dam	2	D	2016-04-17	36:22.0	2016-04-17 11:36	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	909
dam	2	D	2016-04-17	40:27.3	2016-04-17 11:40	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1216
dam	2	D	2016-04-17	42:22.7	2016-04-17 11:42	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	570
dam	2	D	2016-04-17	46:43.4	2016-04-17 11:46	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1293
dam	2	D	2016-04-17	52:27.6	2016-04-17 11:52	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1707
dam	2	D	2016-04-17	55:41.8	2016-04-17 11:55	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	961
dam	2	D	2016-04-17	59:16.1	2016-04-17 11:59	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1062
dam	2	D	2016-04-17	03:22.9	2016-04-17 12:03	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1223
dam	2	D	2016-04-17	03:33.9	2016-04-17 12:03	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	54
dam	2	D	2016-04-17	03:34.4	2016-04-17 12:03	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-17	06:05.2	2016-04-17 12:06	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	748
dam	2	D	2016-04-17	09:08.3	2016-04-17 12:09	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	907
dam	2	D	2016-04-17	09:25.4	2016-04-17 12:09	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	84
dam	2	D	2016-04-17	09:25.8	2016-04-17 12:09	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-17	15:46.5	2016-04-17 12:15	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1889
dam	2	D	2016-04-17	23:04.0	2016-04-17 12:23	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	2171
dam	2	D	2016-04-17	37:39.0	2016-04-17 12:37	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	4342
dam	2	D	2016-04-17	40:27.6	2016-04-17 12:40	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	834
dam	2	D	2016-04-17	41:42.4	2016-04-17 12:41	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	368
dam	2	D	2016-04-17	42:28.1	2016-04-17 12:42	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	226
dam	2	D	2016-04-17	44:12.6	2016-04-17 12:44	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	518
dam	2	D	2016-04-17	45:12.1	2016-04-17 12:45	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	294
dam	2	D	2016-04-17	46:23.2	2016-04-17 12:46	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	352
dam	2	D	2016-04-17	56:25.6	2016-04-17 12:56	America/Vancouver	00:01.0	HR	0000_0000000183225426	6	2989
dam	2	D	2016-04-17	02:11.1	2016-04-17 13:02	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	1709
dam	2	D	2016-04-17	05:14.2	2016-04-17 13:05	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	905
dam	2	D	2016-04-17	05:17.2	2016-04-17 13:05	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	13
dam	2	D	2016-04-17	06:28.5	2016-04-17 13:06	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	353
dam	2	D	2016-04-17	06:30.5	2016-04-17 13:06	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	3
dam	2	D	2016-04-17	10:23.4	2016-04-17 13:10	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1160
dam	2	D	2016-04-17	13:14.7	2016-04-17 13:13	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	849
dam	2	D	2016-04-17	13:15.1	2016-04-17 13:13	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-17	14:29.1	2016-04-17 13:14	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	366
dam	2	D	2016-04-17	14:29.7	2016-04-17 13:14	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-17	17:52.5	2016-04-17 13:17	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1006
dam	2	D	2016-04-17	23:37.9	2016-04-17 13:23	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1714
dam	2	D	2016-04-17	28:16.1	2016-04-17 13:28	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1380
dam	2	D	2016-04-17	33:07.4	2016-04-17 13:33	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1444
dam	2	D	2016-04-17	33:08.6	2016-04-17 13:33	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	5
dam	2	D	2016-04-17	40:57.1	2016-04-17 13:40	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	2325
dam	2	D	2016-04-17	44:57.1	2016-04-17 13:44	America/Vancouver	00:01.2	HR	0000_0000000183225426	7	1189
dam	2	D	2016-04-17	48:39.2	2016-04-17 13:48	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1096
dam	2	D	2016-04-17	01:10.3	2016-04-17 14:01	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	3727
dam	2	D	2016-04-17	03:27.1	2016-04-17 14:03	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	675
dam	2	D	2016-04-17	07:11.3	2016-04-17 14:07	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1110
dam	2	D	2016-04-17	12:00.1	2016-04-17 14:12	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1433
dam	2	D	2016-04-17	14:19.3	2016-04-17 14:14	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	690
dam	2	D	2016-04-17	14:20.5	2016-04-17 14:14	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	3
dam	2	D	2016-04-17	14:22.1	2016-04-17 14:14	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	7
dam	2	D	2016-04-17	28:08.3	2016-04-17 14:28	America/Vancouver	00:00.8	HR	0000_0000000183225426	5	4101
dam	2	D	2016-04-17	33:17.1	2016-04-17 14:33	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1528
dam	2	D	2016-04-17	36:21.6	2016-04-17 14:36	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	915
dam	2	D	2016-04-17	39:18.0	2016-04-17 14:39	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	875
dam	2	D	2016-04-17	39:18.6	2016-04-17 14:39	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-18	12:12.1	2016-04-18 09:12	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	.
dam	2	D	2016-04-18	29:00.0	2016-04-18 09:28	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	5003
dam	2	D	2016-04-18	29:01.0	2016-04-18 09:29	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	4
dam	2	D	2016-04-18	29:03.0	2016-04-18 09:29	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	9
dam	2	D	2016-04-18	55:52.4	2016-04-18 09:55	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	7989
dam	2	D	2016-04-18	03:05.0	2016-04-18 10:03	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2147
dam	2	D	2016-04-18	24:16.7	2016-04-18 10:24	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	6313
dam	2	D	2016-04-18	33:15.3	2016-04-18 10:33	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	2670
dam	2	D	2016-04-18	33:17.5	2016-04-18 10:33	America/Vancouver	00:01.6	HR	0000_0000000183225426	9	8
dam	2	D	2016-04-18	33:19.5	2016-04-18 10:33	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1
dam	2	D	2016-04-18	50:43.1	2016-04-18 10:50	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	5179
dam	2	D	2016-04-18	59:04.0	2016-04-18 10:59	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2486
dam	2	D	2016-04-18	07:09.3	2016-04-18 11:07	America/Vancouver	00:05.7	HR	0000_0000000183225426	29	2409
dam	2	D	2016-04-18	16:34.9	2016-04-18 11:16	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2779
dam	2	D	2016-04-18	16:35.3	2016-04-18 11:16	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1
dam	2	D	2016-04-18	22:13.2	2016-04-18 11:22	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1676
dam	2	D	2016-04-18	29:42.2	2016-04-18 11:29	America/Vancouver	00:06.3	HR	0000_0000000183225426	32	2227
dam	2	D	2016-04-18	29:48.8	2016-04-18 11:29	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-18	29:49.2	2016-04-18 11:29	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-18	52:18.8	2016-04-18 11:52	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	6700
dam	2	D	2016-04-18	12:53.1	2016-04-18 12:12	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	6127
dam	2	D	2016-04-18	22:27.3	2016-04-18 12:22	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	2850
dam	2	D	2016-04-18	22:28.3	2016-04-18 12:22	America/Vancouver	00:01.2	HR	0000_0000000183225426	2	2
dam	2	D	2016-04-18	36:11.0	2016-04-18 12:36	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	4083
dam	2	D	2016-04-18	36:11.6	2016-04-18 12:36	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2
dam	2	D	2016-04-18	39:30.2	2016-04-18 12:39	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	985
dam	2	D	2016-04-18	45:29.1	2016-04-18 12:45	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1781
dam	2	D	2016-04-18	45:29.5	2016-04-18 12:45	America/Vancouver	00:00.8	HR	0000_0000000183225426	5	1
dam	2	D	2016-04-18	45:30.7	2016-04-18 12:45	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1
dam	2	D	2016-04-18	54:38.3	2016-04-18 12:54	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2717
dam	2	D	2016-04-18	00:22.9	2016-04-18 13:00	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	1710
dam	2	D	2016-04-19	59:03.5	2016-04-19 09:59	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	.
dam	2	D	2016-04-19	05:52.0	2016-04-19 10:05	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2027
dam	2	D	2016-04-19	05:52.6	2016-04-19 10:05	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2
dam	2	D	2016-04-19	11:29.2	2016-04-19 10:11	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1670
dam	2	D	2016-04-19	29:52.7	2016-04-19 10:29	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	5476
dam	2	D	2016-04-19	36:06.4	2016-04-19 10:36	America/Vancouver	00:01.2	HR	0000_0000000183225426	7	1851
dam	2	D	2016-04-19	42:23.7	2016-04-19 10:42	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1866
dam	2	D	2016-04-19	48:21.5	2016-04-19 10:48	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	1774
dam	2	D	2016-04-19	51:11.9	2016-04-19 10:51	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	842
dam	2	D	2016-04-19	51:12.5	2016-04-19 10:51	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2
dam	2	D	2016-04-19	58:41.3	2016-04-19 10:58	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	2227
dam	2	D	2016-04-19	03:25.9	2016-04-19 11:03	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1411
dam	2	D	2016-04-19	04:35.4	2016-04-19 11:04	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	343
dam	2	D	2016-04-19	12:19.2	2016-04-19 11:12	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2301
dam	2	D	2016-04-19	12:19.6	2016-04-19 11:12	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-19	17:25.0	2016-04-19 11:17	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1515
dam	2	D	2016-04-19	25:32.8	2016-04-19 11:25	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	2421
dam	2	D	2016-04-19	29:42.8	2016-04-19 11:29	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1238
dam	2	D	2016-04-19	53:46.0	2016-04-19 11:53	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	7164
dam	2	D	2016-04-19	11:45.0	2016-04-19 12:11	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	5356
dam	2	D	2016-04-19	25:48.0	2016-04-19 12:25	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	4183
dam	2	D	2016-04-19	30:03.0	2016-04-19 12:30	America/Vancouver	00:00.8	HR	0000_0000000183225426	5	1265
dam	2	D	2016-04-20	57:15.5	2016-04-20 17:57	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	.
dam	2	D	2016-04-20	59:28.7	2016-04-20 17:59	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	658
dam	2	D	2016-04-20	07:07.9	2016-04-20 18:07	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	2278
dam	2	D	2016-04-20	19:27.5	2016-04-20 18:19	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	3669
dam	2	D	2016-04-20	19:27.9	2016-04-20 18:19	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1
dam	2	D	2016-04-20	21:56.5	2016-04-20 18:21	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	736
dam	2	D	2016-04-20	21:59.4	2016-04-20 18:21	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	12
dam	2	D	2016-04-20	23:55.2	2016-04-20 18:23	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	572
dam	2	D	2016-04-20	23:55.8	2016-04-20 18:23	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	2
dam	2	D	2016-04-20	30:13.5	2016-04-20 18:30	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1872
dam	2	D	2016-04-20	33:14.5	2016-04-20 18:33	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	896
dam	2	D	2016-04-20	34:52.6	2016-04-20 18:34	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	485
dam	2	D	2016-04-20	38:50.1	2016-04-20 18:38	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	1176
dam	2	D	2016-04-20	53:45.4	2016-04-20 18:53	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	4441
dam	2	D	2016-04-20	56:12.7	2016-04-20 18:56	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	730
dam	2	D	2016-04-20	59:42.2	2016-04-20 18:59	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1038
dam	2	D	2016-04-20	59:42.6	2016-04-20 18:59	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1
dam	2	D	2016-04-20	07:23.9	2016-04-20 19:07	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	2288
dam	2	D	2016-04-20	07:24.7	2016-04-20 19:07	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2
dam	2	D	2016-04-21	34:36.5	2016-04-21 10:34	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	.
dam	2	D	2016-04-21	34:37.3	2016-04-21 10:34	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	3
dam	2	D	2016-04-21	43:52.6	2016-04-21 10:43	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2756
dam	2	D	2016-04-21	43:53.0	2016-04-21 10:43	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-21	52:09.5	2016-04-21 10:52	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2464
dam	2	D	2016-04-21	52:09.9	2016-04-21 10:52	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1
dam	2	D	2016-04-21	55:37.6	2016-04-21 10:55	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	1029
dam	2	D	2016-04-21	59:53.8	2016-04-21 10:59	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1268
dam	2	D	2016-04-21	59:55.8	2016-04-21 10:59	America/Vancouver	59:59.4	HR	0000_0000000183225426	3	4
dam	2	D	2016-04-21	12:01.7	2016-04-21 11:12	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	3606
dam	2	D	2016-04-21	12:02.7	2016-04-21 11:12	America/Vancouver	00:01.2	HR	0000_0000000183225426	2	4
dam	2	D	2016-04-21	18:58.7	2016-04-21 11:18	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	2063
dam	2	D	2016-04-21	22:25.5	2016-04-21 11:22	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1025
dam	2	D	2016-04-21	25:53.8	2016-04-21 11:25	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1033
dam	2	D	2016-04-21	15:54.4	2016-04-21 12:15	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	14896
dam	2	D	2016-04-21	15:55.0	2016-04-21 12:15	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-21	22:21.4	2016-04-21 12:22	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1917
dam	2	D	2016-04-21	22:21.8	2016-04-21 12:22	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1
dam	2	D	2016-04-21	25:32.5	2016-04-21 12:25	America/Vancouver	00:01.4	HR	0000_0000000183225426	8	945
dam	2	D	2016-04-21	31:31.5	2016-04-21 12:31	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1774
dam	2	D	2016-04-21	08:42.3	2016-04-21 13:08	America/Vancouver	00:00.8	HR	0000_0000000183225426	5	11072
dam	2	D	2016-04-21	14:25.5	2016-04-21 13:14	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1699
dam	2	D	2016-04-21	20:00.9	2016-04-21 13:20	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1662
dam	2	D	2016-04-21	24:49.9	2016-04-21 13:24	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1433
dam	2	D	2016-04-21	26:02.7	2016-04-21 13:26	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	359
dam	2	D	2016-04-21	26:04.5	2016-04-21 13:26	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	7
dam	2	D	2016-04-21	30:13.2	2016-04-21 13:30	America/Vancouver	00:01.0	HR	0000_0000000183225426	6	1233
dam	2	D	2016-04-21	39:19.7	2016-04-21 13:39	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	2707
dam	2	D	2016-04-21	47:27.4	2016-04-21 13:47	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2418
dam	2	D	2016-04-21	59:16.6	2016-04-21 13:59	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	3520
dam	2	D	2016-04-21	02:33.8	2016-04-21 14:02	America/Vancouver	00:01.4	HR	0000_0000000183225426	8	976
dam	2	D	2016-04-21	02:36.7	2016-04-21 14:02	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	6
dam	2	D	2016-04-21	07:22.5	2016-04-21 14:07	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1417
dam	2	D	2016-04-21	07:23.1	2016-04-21 14:07	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2
dam	2	D	2016-04-21	14:09.0	2016-04-21 14:14	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	2014
dam	2	D	2016-04-22	42:11.3	2016-04-22 08:42	America/Vancouver	00:00.6	HR	0000_0000000183783293	4	109
dam	2	D	2016-04-22	42:14.1	2016-04-22 08:42	America/Vancouver	00:00.0	HR	0000_0000000183783293	1	10
dam	2	D	2016-04-22	42:14.5	2016-04-22 08:42	America/Vancouver	00:00.0	HR	0000_0000000183783293	1	1
dam	2	D	2016-04-22	42:15.9	2016-04-22 08:42	America/Vancouver	00:00.4	HR	0000_0000000183783293	3	6
dam	2	D	2016-04-22	10:05.1	2016-04-22 09:10	America/Vancouver	00:00.4	HR	0000_0000000183783293	3	8283
dam	2	D	2016-04-22	02:11.0	2016-04-22 10:02	America/Vancouver	00:01.4	HR	0000_0000000183225426	8	15515
dam	1	D	2016-05-20	14:04.1	2016-05-20 19:14	America/Vancouver	00:00.3	HA	900_230000010016	4	.
dam	1	D	2016-05-20	48:12.3	2016-05-20 19:48	America/Vancouver	00:00.0	HA	900_230000010016	1	20333
dam	1	D	2016-05-20	01:45.2	2016-05-20 20:01	America/Vancouver	00:00.0	HA	900_230000010016	1	8070
dam	1	D	2016-05-20	50:24.4	2016-05-20 20:50	America/Vancouver	00:00.3	HA	900_230000010016	4	28985
dam	1	D	2016-05-20	51:14.3	2016-05-20 20:51	America/Vancouver	00:00.1	HA	900_230000010016	2	491
dam	1	D	2016-05-20	03:17.8	2016-05-20 21:03	America/Vancouver	00:00.5	HA	900_230000010016	6	7181
dam	1	D	2016-05-20	13:33.3	2016-05-20 21:13	America/Vancouver	00:01.1	HA	900_230000010016	12	6105
dam	1	D	2016-05-20	39:56.0	2016-05-20 21:39	America/Vancouver	00:00.2	HA	900_230000010016	3	15702
dam	1	D	2016-05-20	40:28.8	2016-05-20 21:40	America/Vancouver	00:02.7	HA	900_230000010016	28	323
dam	1	D	2016-05-20	42:34.5	2016-05-20 21:42	America/Vancouver	00:00.1	HA	900_230000010016	2	1219
dam	1	D	2016-05-20	33:05.7	2016-05-20 22:33	America/Vancouver	00:00.0	HA	900_230000010016	1	30093
dam	1	D	2016-05-20	33:07.4	2016-05-20 22:33	America/Vancouver	00:00.0	HA	900_230000010016	1	16
dam	1	D	2016-05-27	07:43.9	2016-05-27 08:07	America/Vancouver	00:00.4	HR	0000_0000000183783293	5	.
dam	1	D	2016-05-27	07:44.6	2016-05-27 08:07	America/Vancouver	00:00.2	HR	0000_0000000183783293	3	2
dam	1	D	2016-05-29	38:02.1	2016-05-29 11:38	America/Vancouver	00:00.2	HA	900_230000010016	3	.
dam	1	D	2016-05-29	39:27.4	2016-05-29 11:39	America/Vancouver	00:00.1	HA	900_230000010016	2	844
dam	1	D	2016-05-29	50:18.3	2016-05-29 12:50	America/Vancouver	00:00.1	HA	900_230000010016	2	42207
dam	1	D	2016-05-29	02:02.2	2016-05-29 13:02	America/Vancouver	00:00.0	HA	900_230000010016	1	6988
dam	1	D	2016-05-29	25:34.8	2016-05-29 13:25	America/Vancouver	00:00.1	HA	900_230000010016	2	14026
dam	1	D	2016-05-29	27:56.2	2016-05-29 13:27	America/Vancouver	00:00.0	HA	900_230000010016	1	1402
dam	1	D	2016-05-29	50:08.1	2016-05-29 13:50	America/Vancouver	00:00.1	HA	900_230000010016	2	13224
dam	1	D	2016-05-29	05:19.5	2016-05-29 14:05	America/Vancouver	00:00.6	HA	900_230000010016	7	9048
dam	2	D	2016-06-29	34:27.6	2016-06-29 10:34	America/Vancouver	00:01.0	HR	0000_0000000183783293	11	456
dam	2	D	2016-06-29	34:30.0	2016-06-29 10:34	America/Vancouver	00:01.2	HR	0000_0000000183783293	13	13
dam	2	D	2016-06-29	34:43.2	2016-06-29 10:34	America/Vancouver	00:00.2	HR	0000_0000000183783293	3	118
dam	2	D	2016-06-29	34:43.7	2016-06-29 10:34	America/Vancouver	00:00.6	HR	0000_0000000183783293	7	1
dam	1	D	2016-06-29	22:19.1	2016-06-29 11:22	America/Vancouver	00:01.4	HR	0000_0000000183783293	15	4950
dam	1	D	2016-06-29	22:22.5	2016-06-29 11:22	America/Vancouver	00:00.6	HR	0000_0000000183783293	7	19
dam	1	D	2016-06-29	22:23.3	2016-06-29 11:22	America/Vancouver	00:00.2	HR	0000_0000000183783293	3	1
dam	2	D	2016-06-29	32:11.3	2016-06-29 11:32	America/Vancouver	00:00.4	HR	0000_0000000183783293	3	979
dam	2	D	2016-06-29	32:12.1	2016-06-29 11:32	America/Vancouver	00:01.4	HR	0000_0000000183783293	3	1
dam	2	D	2016-06-29	32:13.9	2016-06-29 11:32	America/Vancouver	00:00.4	HR	0000_0000000183783293	3	1
dam	2	D	2016-06-29	32:13.7	2016-06-29 11:32	America/Vancouver	00:03.2	HR	0000_0000000183783293	17	1
dam	2	D	2016-06-29	32:34.9	2016-06-29 11:32	America/Vancouver	00:01.0	HR	0000_0000000183783293	6	88
dam	1	D	2016-06-29	33:11.8	2016-06-29 11:33	America/Vancouver	00:00.4	HR	0000_0000000183783293	3	5393
dam	1	D	2016-06-29	33:15.1	2016-06-29 11:33	America/Vancouver	00:00.2	HR	0000_0000000183783293	2	13
